restaurant_name,cuisine_type,review_telugu,rating,location
తెలుగు తిండి,Biryani,బిర్యాని అసలు బాలేదు.,4,కాకినాడ
బ్రేక్‌ఫాస్ట్ క్లబ్,Biryani,కాఫీ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,4,కాకినాడ
ఫుడ్ హబ్,Biryani,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పాయసం సూపర్.,3,వరంగల్
నూడుల్స్ షాప్,North Indian,గోంగూర పచ్చడి రుచి మరచిపోలేనిది.,1,నెల్లూరు
శివ సాగర్,Tandoori,మలై కొఫ్తా క్వాలిటీ అద్భుతం!,2,గుంటూరు
హోటల్ సత్యం,South Indian,సూప్ క్వాలిటీ అద్భుతం!,5,గుంటూరు
ఆసియన్ వోక్,North Indian,కాఫీ పరవాలేదు ,4,కరీంనగర్
ఫ్లేవర్ హౌస్,Fast Food,గోంగూర పచ్చడి పరవాలేదు ,2,వరంగల్
హోటల్ శ్రీనివాస,Chinese,ఇక్కడి పిజ్జా అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,4,కాకినాడ
బర్గర్ కింగ్,Fast Food,చికెన్ ఫ్రై క్వాలిటీ అద్భుతం!,2,వరంగల్
ఆసియన్ వోక్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పాయసం సూపర్.,2,హైదరాబాద్
కబాబ్ కార్నర్,North Indian,నూడుల్స్ పరవాలేదు ,3,తిరుపతి
స్నాక్స్ బార్,Andhra Meals,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా చికెన్ ఫ్రై సూపర్.,3,వరంగల్
స్నాక్స్ బార్,South Indian,పులిహోర కొంచెం కూడా బాగోలేదు.,3,రాజమండ్రి
సౌత్ ఇండియా కాఫీ హౌస్,Fast Food,పొంగల్ పరవాలేదు ,1,విజయవాడ
సౌత్ ఇండియా కాఫీ హౌస్,Biryani,గోంగూర పచ్చడి రుచి మామూలుగా ఉంది,4,విశాఖపట్నం
కబాబ్ హౌస్,South Indian,మలై కొఫ్తా క్వాలిటీ అద్భుతం!,2,కాకినాడ
స్నాక్స్ వరల్డ్,North Indian,బర్గర్ రుచి మరచిపోలేనిది.,4,గుంటూరు
స్పైసీ ఫ్యాక్టరీ,Biryani,ఇక్కడి గోబీ 65 అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,3,కాకినాడ
చికెన్ కింగ్,South Indian,సూప్ రుచి మామూలుగా ఉంది,1,హైదరాబాద్
మల్టీ క్విజీన్ హబ్,Biryani,ఫ్రెష్ గా చేసిన మలై కొఫ్తా చాలా టేస్టీ గా ఉంది.,5,గుంటూరు
చికెన్ హట్,North Indian,ఇక్కడి బిర్యాని అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,5,హైదరాబాద్
నూడుల్స్ షాప్,South Indian,ఫ్రెష్ గా చేసిన దోసె చాలా టేస్టీ గా ఉంది.,4,గుంటూరు
కాఫీ హౌస్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా సూప్ సూపర్.,2,ఖమ్మం
చికెన్ జంక్షన్,North Indian,సూప్ కొంచెం కూడా బాగోలేదు.,2,ఖమ్మం
మల్టి కైచెన్,South Indian,పులిహోర పరవాలేదు ,4,వరంగల్
సౌత్ ఇండియా కాఫీ హౌస్,Andhra Meals,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా నూడుల్స్ సూపర్.,3,హైదరాబాద్
సూర్యోదయ టిఫిన్స్,South Indian,సూప్ రుచి మరచిపోలేనిది.,3,గుంటూరు
నవరత్న హోటల్,Biryani,నూడుల్స్ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,2,గుంటూరు
పిజ్జా హబ్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా చికెన్ ఫ్రై సూపర్.,3,కాకినాడ
చైనీస్ వక్,North Indian,ఫ్రెష్ గా చేసిన గోబీ 65 చాలా టేస్టీ గా ఉంది.,3,అనంతపూర్
తందూరి నైట్స్,South Indian,పిజ్జా అసలు బాలేదు.,2,వరంగల్
తందూరి స్టార్,South Indian,పాయసం క్వాలిటీ అద్భుతం!,4,హైదరాబాద్
ఫుడ్ ప్లాజా,Tandoori,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా చపాతీ సూపర్.,3,కాకినాడ
ఫుడ్ హబ్,North Indian,బిర్యాని క్వాలిటీ అద్భుతం!,5,ఖమ్మం
చైనీస్ వక్,Andhra Meals,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా నూడుల్స్ సూపర్.,5,తిరుపతి
బర్గర్ కింగ్,Tandoori,ధర కొంచెం ఎక్కువ కానీ చపాతీ చాలా బాగుంది.,3,వరంగల్
హోటల్ సత్యం,Tandoori,ఇక్కడి గోంగూర పచ్చడి అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,1,వరంగల్
కబాబ్ కార్నర్,Fast Food,ఇడ్లీ కొంచెం కూడా బాగోలేదు.,1,విశాఖపట్నం
హోటల్ సత్యం,Tandoori,ఇక్కడి పాయసం అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,4,విశాఖపట్నం
శాంతి సాగర్,Fast Food,కాఫీ రుచి మరచిపోలేనిది.,5,తిరుపతి
ఫుడ్ ప్లాజా,Fast Food,మలై కొఫ్తా రుచి మామూలుగా ఉంది,5,విశాఖపట్నం
తెలుగు తిండి,Fast Food,మలై కొఫ్తా రుచి మామూలుగా ఉంది,3,విశాఖపట్నం
ఓషన్ ఫుడ్,South Indian,పనీర్ బట్టర్ మసాలా కొంచెం కూడా బాగోలేదు.,5,కరీంనగర్
సౌత్ ఇండియన్ కైచెన్,Chinese,ధర కొంచెం ఎక్కువ కానీ కాఫీ చాలా బాగుంది.,3,నెల్లూరు
మల్టి కైచెన్,Andhra Meals,దోసె అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,3,కరీంనగర్
స్పైస్ గార్డెన్,Biryani,బిర్యాని రుచి మరచిపోలేనిది.,4,నెల్లూరు
పరదైస్ రెస్టారెంట్,Fast Food,స్పైసీ లవర్స్ కి చికెన్ ఫ్రై బెస్ట్ ఆప్షన్.,1,తిరుపతి
బిరియానీ బ్రదర్స్,Tandoori,చపాతీ అసలు బాలేదు.,2,హైదరాబాద్
సీఫుడ్ బే,Andhra Meals,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా నూడుల్స్ సూపర్.,2,కాకినాడ
గ్రీన్ లీఫ్,Fast Food,పొంగల్ అసలు బాలేదు.,4,కరీంనగర్
శాంతి సాగర్,Tandoori,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పకోడీ సూపర్.,4,విజయవాడ
చికెన్ ఫ్యాక్టరీ,Chinese,ధర కొంచెం ఎక్కువ కానీ పనీర్ బట్టర్ మసాలా చాలా బాగుంది.,1,హైదరాబాద్
హలవాయ్ షాప్,Andhra Meals,చపాతీ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,4,ఖమ్మం
శాంతి సాగర్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా దోసె సూపర్.,4,హైదరాబాద్
చికెన్ హట్,Biryani,"నిజంగా చెప్పాలి అంటే, పూరీ నాకు చాలా నచ్చింది.",2,కాకినాడ
క్విక్ బైట్,Fast Food,కాఫీ కొంచెం కూడా బాగోలేదు.,2,రాజమండ్రి
రాజ్ బిరియానీ,Andhra Meals,ఫ్రెష్ గా చేసిన బర్గర్ చాలా టేస్టీ గా ఉంది.,3,హైదరాబాద్
స్వీట్ లాండ్,Andhra Meals,ఫ్రెష్ గా చేసిన చికెన్ ఫ్రై చాలా టేస్టీ గా ఉంది.,2,కరీంనగర్
తాండా చికెన్,Chinese,పూరీ క్వాలిటీ అద్భుతం!,1,విజయవాడ
చికెన్ ట్విస్ట్,Tandoori,ధర కొంచెం ఎక్కువ కానీ పులిహోర చాలా బాగుంది.,3,అనంతపూర్
ట్రెడిషనల్ టేస్ట్,Fast Food,ఇక్కడి కాఫీ అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,2,కరీంనగర్
లగ్జరీ డైనింగ్,Fast Food,ఫ్రెష్ గా చేసిన పకోడీ చాలా టేస్టీ గా ఉంది.,2,కరీంనగర్
స్వీటీ స్క్వేర్,North Indian,పాయసం పరవాలేదు ,4,గుంటూరు
శాంతి సాగర్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా మలై కొఫ్తా సూపర్.,4,వరంగల్
నూడుల్స్ షాప్,Fast Food,ఫ్రెష్ గా చేసిన పకోడీ చాలా టేస్టీ గా ఉంది.,4,హైదరాబాద్
సౌత్ ఇండియన్ కైచెన్,Fast Food,గోంగూర పచ్చడి అసలు బాలేదు.,5,విజయవాడ
హోటల్ సత్యం,South Indian,ఫ్రెష్ గా చేసిన చికెన్ ఫ్రై చాలా టేస్టీ గా ఉంది.,4,హైదరాబాద్
హలవాయ్ షాప్,North Indian,నూడుల్స్ రుచి మామూలుగా ఉంది,1,వరంగల్
బరోక్రాఫ్ట్,Andhra Meals,చపాతీ రుచి మరచిపోలేనిది.,5,గుంటూరు
నౌటికల్ సీఫుడ్,Biryani,గోబీ 65 చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,5,నెల్లూరు
చికెన్ హట్,North Indian,స్పైసీ లవర్స్ కి పాయసం బెస్ట్ ఆప్షన్.,1,వరంగల్
టీ టైమ్ స్నాక్స్,Andhra Meals,దోసె క్వాలిటీ అద్భుతం!,1,కాకినాడ
తందూరి టేస్ట్,Biryani,"నిజంగా చెప్పాలి అంటే, ఇడ్లీ నాకు చాలా నచ్చింది.",2,విశాఖపట్నం
చికెన్ కార్నర్,North Indian,స్పైసీ లవర్స్ కి పనీర్ బట్టర్ మసాలా బెస్ట్ ఆప్షన్.,1,కాకినాడ
మద్రాస్ కైచెన్,North Indian,పులిహోర పరవాలేదు ,1,విజయవాడ
గ్లోబల్ ఫుడ్ కోర్ట్,South Indian,గోంగూర పచ్చడి చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,3,కరీంనగర్
దేశీ దాబా,Chinese,గోంగూర పచ్చడి రుచి మామూలుగా ఉంది,2,నెల్లూరు
తాండా చికెన్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా బిర్యాని సూపర్.,2,తిరుపతి
మసాలా మేజిక్,North Indian,గోబీ 65 అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,4,నెల్లూరు
చికెన్ కార్నర్,Fast Food,నూడుల్స్ కొంచెం కూడా బాగోలేదు.,2,విశాఖపట్నం
క్విక్ బైట్,North Indian,బర్గర్ కొంచెం కూడా బాగోలేదు.,2,విశాఖపట్నం
కర్రీ హౌస్,Biryani,చపాతీ రుచి మామూలుగా ఉంది,2,కరీంనగర్
పిజ్జా హబ్,Tandoori,"నిజంగా చెప్పాలి అంటే, గోంగూర పచ్చడి నాకు చాలా నచ్చింది.",3,రాజమండ్రి
స్వీట్ హౌస్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా నూడుల్స్ సూపర్.,4,కాకినాడ
నవరత్న హోటల్,Fast Food,ధర కొంచెం ఎక్కువ కానీ దోసె చాలా బాగుంది.,3,విశాఖపట్నం
చికెన్ హట్,North Indian,గోబీ 65 పరవాలేదు ,2,అనంతపూర్
కాఫీ డే,Chinese,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పూరీ సూపర్.,1,కాకినాడ
మసాలా కిచెన్,Andhra Meals,పనీర్ బట్టర్ మసాలా అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,4,విశాఖపట్నం
ఆసియన్ వోక్,Andhra Meals,ఇక్కడి పిజ్జా అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,5,విజయవాడ
శ్రీ వెంకటేశ్వర భోజనాలయం,South Indian,బిర్యాని పరవాలేదు ,5,విజయవాడ
ఓషన్ ఫుడ్,Biryani,పిజ్జా కొంచెం కూడా బాగోలేదు.,4,నెల్లూరు
లగ్జరీ డైనింగ్,Chinese,"నిజంగా చెప్పాలి అంటే, ఉలవచారు నాకు చాలా నచ్చింది.",1,రాజమండ్రి
కాఫీ క్లబ్,Tandoori,పులిహోర చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,4,నెల్లూరు
శ్రీ వెంకటేశ్వర భోజనాలయం,Andhra Meals,ఇక్కడి చపాతీ అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,5,నెల్లూరు
హల్దీ ఘర్,Biryani,ఫ్రెష్ గా చేసిన పనీర్ బట్టర్ మసాలా చాలా టేస్టీ గా ఉంది.,2,హైదరాబాద్
ప్రాతఃకాల భోజనం,Fast Food,గోబీ 65 క్వాలిటీ అద్భుతం!,4,గుంటూరు
బర్గర్ ప్లేస్,Tandoori,పొంగల్ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,3,కరీంనగర్
కబాబ్ స్టేషన్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పొంగల్ సూపర్.,5,విశాఖపట్నం
లగ్జరీ డైనింగ్,Andhra Meals,ఫ్రెష్ గా చేసిన మటన్ కర్రీ చాలా టేస్టీ గా ఉంది.,5,అనంతపూర్
కబాబ్ హౌస్,Andhra Meals,బిర్యాని రుచి మరచిపోలేనిది.,3,తిరుపతి
సీఫుడ్ బే,Chinese,ఫ్రెష్ గా చేసిన పొంగల్ చాలా టేస్టీ గా ఉంది.,2,ఖమ్మం
తందూరి నైట్స్,North Indian,"నిజంగా చెప్పాలి అంటే, పులిహోర నాకు చాలా నచ్చింది.",1,తిరుపతి
శ్రీ వెంకటేశ్వర భోజనాలయం,North Indian,ధర కొంచెం ఎక్కువ కానీ మటన్ కర్రీ చాలా బాగుంది.,4,వరంగల్
బ్రహ్మ భోజనాలయం,Andhra Meals,బిర్యాని కొంచెం కూడా బాగోలేదు.,2,వరంగల్
ఫాస్ట్ ట్రాక్,North Indian,మటన్ కర్రీ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,1,విశాఖపట్నం
రామయ్య హోటల్,Tandoori,ఫ్రెష్ గా చేసిన మలై కొఫ్తా చాలా టేస్టీ గా ఉంది.,1,నెల్లూరు
పిజ్జా హబ్,Tandoori,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పాయసం సూపర్.,5,అనంతపూర్
నూడుల్స్ షాప్,North Indian,ఇడ్లీ అసలు బాలేదు.,1,కాకినాడ
గ్లోబల్ టేస్ట్,Biryani,పాయసం చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,4,అనంతపూర్
బ్రేక్‌ఫాస్ట్ హబ్,Fast Food,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా బిర్యాని సూపర్.,3,రాజమండ్రి
చికెన్ కింగ్,Biryani,పూరీ పరవాలేదు ,2,నెల్లూరు
హైదరాబాద్ మసాలా,North Indian,ధర కొంచెం ఎక్కువ కానీ గోంగూర పచ్చడి చాలా బాగుంది.,4,నెల్లూరు
బిరియానీ ప్యాలెస్,Biryani,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పులిహోర సూపర్.,1,అనంతపూర్
నవరత్న హోటల్,Biryani,పూరీ కొంచెం కూడా బాగోలేదు.,2,గుంటూరు
టిఫిన్ సెంటర్,Chinese,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పొంగల్ సూపర్.,5,కరీంనగర్
చికెన్ హట్,South Indian,టీ క్వాలిటీ అద్భుతం!,1,హైదరాబాద్
క్రీమీ కేఫ్,Andhra Meals,మటన్ కర్రీ క్వాలిటీ అద్భుతం!,1,రాజమండ్రి
డైనింగ్ పాయింట్,Chinese,పులిహోర అసలు బాలేదు.,3,రాజమండ్రి
బిరియానీ స్పెషల్,Chinese,పొంగల్ రుచి మరచిపోలేనిది.,3,నెల్లూరు
కర్రీ హౌస్,Biryani,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా దోసె సూపర్.,1,నెల్లూరు
శ్రీ వెంకటేశ్వర భోజనాలయం,Biryani,చికెన్ ఫ్రై చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,3,అనంతపూర్
మద్రాస్ కైచెన్,Andhra Meals,సూప్ చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,3,గుంటూరు
పిజ్జా కార్నర్,Chinese,పిజ్జా అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,3,కాకినాడ
పిజ్జా వరల్డ్,Tandoori,పులిహోర పరవాలేదు ,5,ఖమ్మం
టీ టైమ్ స్నాక్స్,Tandoori,మటన్ కర్రీ రుచి మామూలుగా ఉంది,1,హైదరాబాద్
చైనా టౌన్,Tandoori,బిర్యాని పరవాలేదు ,1,కాకినాడ
కబాబ్ జంక్షన్,South Indian,ఫ్రెష్ గా చేసిన పకోడీ చాలా టేస్టీ గా ఉంది.,5,కరీంనగర్
హైదరాబాదీ బిరియానీ హౌస్,Andhra Meals,దోసె రుచి మామూలుగా ఉంది,5,ఖమ్మం
నవరత్న హోటల్,Andhra Meals,బర్గర్ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,5,కరీంనగర్
రామయ్య హోటల్,Fast Food,"నిజంగా చెప్పాలి అంటే, గోబీ 65 నాకు చాలా నచ్చింది.",1,నెల్లూరు
హోటల్ వెంకటేశ్వర,North Indian,స్పైసీ లవర్స్ కి పనీర్ బట్టర్ మసాలా బెస్ట్ ఆప్షన్.,5,విశాఖపట్నం
కాఫీ హౌస్,North Indian,గోంగూర పచ్చడి రుచి మామూలుగా ఉంది,5,విశాఖపట్నం
కబాబ్ జంక్షన్,Andhra Meals,ఉలవచారు అసలు బాలేదు.,5,గుంటూరు
హోటల్ శ్రీ కృష్ణ,Tandoori,కాఫీ అసలు బాలేదు.,5,హైదరాబాద్
హల్దీ ఘర్,Fast Food,పొంగల్ రుచి మామూలుగా ఉంది,3,కాకినాడ
స్పైసీ ఫ్యాక్టరీ,Andhra Meals,"నిజంగా చెప్పాలి అంటే, కాఫీ నాకు చాలా నచ్చింది.",5,విశాఖపట్నం
లగ్జరీ డైనింగ్,Tandoori,దోసె పరవాలేదు ,4,రాజమండ్రి
టీ టైమ్ స్నాక్స్,North Indian,బిర్యాని పరవాలేదు ,3,విజయవాడ
బ్రేక్‌ఫాస్ట్ హబ్,Andhra Meals,ఫ్రెష్ గా చేసిన పొంగల్ చాలా టేస్టీ గా ఉంది.,5,హైదరాబాద్
స్పైసీ ఫ్యాక్టరీ,North Indian,"నిజంగా చెప్పాలి అంటే, టీ నాకు చాలా నచ్చింది.",2,వరంగల్
స్నాక్ బాక్స్,South Indian,చికెన్ ఫ్రై రుచి మరచిపోలేనిది.,5,కాకినాడ
గ్లోబల్ ఫుడ్ కోర్ట్,Chinese,ఇక్కడి నూడుల్స్ అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,1,ఖమ్మం
ట్రెడిషనల్ టేస్ట్,Chinese,టీ క్వాలిటీ అద్భుతం!,5,విశాఖపట్నం
క్విక్ బైట్,Tandoori,నూడుల్స్ చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,4,హైదరాబాద్
పరంపరా వంటలు,Fast Food,పిజ్జా రుచి మామూలుగా ఉంది,1,రాజమండ్రి
బిరియానీ స్పెషల్,Tandoori,ధర కొంచెం ఎక్కువ కానీ పులిహోర చాలా బాగుంది.,2,విజయవాడ
పంజాబ్ గ్రిల్,Fast Food,గోబీ 65 క్వాలిటీ అద్భుతం!,2,అనంతపూర్
చికెన్ కింగ్,Fast Food,"నిజంగా చెప్పాలి అంటే, పిజ్జా నాకు చాలా నచ్చింది.",4,విశాఖపట్నం
గృహిణి వంటలు,Fast Food,స్పైసీ లవర్స్ కి నూడుల్స్ బెస్ట్ ఆప్షన్.,1,గుంటూరు
బిరియానీ సెంటర్,Andhra Meals,ఫ్రెష్ గా చేసిన పూరీ చాలా టేస్టీ గా ఉంది.,4,కాకినాడ
బ్రహ్మ భోజనాలయం,Andhra Meals,పకోడీ అసలు బాలేదు.,5,కరీంనగర్
నవరత్న హోటల్,Tandoori,ఫ్రెష్ గా చేసిన పకోడీ చాలా టేస్టీ గా ఉంది.,5,కరీంనగర్
స్నాక్స్ వరల్డ్,South Indian,దోసె అసలు బాలేదు.,4,విశాఖపట్నం
బర్గర్ కింగ్,Tandoori,చికెన్ ఫ్రై కొంచెం కూడా బాగోలేదు.,3,ఖమ్మం
మసాలా మేజిక్,North Indian,సూప్ రుచి మామూలుగా ఉంది,2,రాజమండ్రి
గృహిణి వంటలు,Andhra Meals,పొంగల్ కొంచెం కూడా బాగోలేదు.,5,ఖమ్మం
గ్లోబల్ టేస్ట్,Biryani,స్పైసీ లవర్స్ కి సూప్ బెస్ట్ ఆప్షన్.,5,నెల్లూరు
సీఫుడ్ బే,Tandoori,పకోడీ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,3,హైదరాబాద్
స్వీట్ షాప్,Chinese,పూరీ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,5,వరంగల్
శాంతి సాగర్,South Indian,"నిజంగా చెప్పాలి అంటే, గోంగూర పచ్చడి నాకు చాలా నచ్చింది.",5,వరంగల్
రాయల్ థాళీ,North Indian,ధర కొంచెం ఎక్కువ కానీ పకోడీ చాలా బాగుంది.,3,విశాఖపట్నం
తెలుగు తిండి,Chinese,చపాతీ కొంచెం కూడా బాగోలేదు.,1,వరంగల్
సీఫుడ్ పారడైజ్,Biryani,స్పైసీ లవర్స్ కి మటన్ కర్రీ బెస్ట్ ఆప్షన్.,5,గుంటూరు
కాఫీ క్లబ్,South Indian,పూరీ చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,2,తిరుపతి
స్వీటీ స్క్వేర్,Fast Food,పకోడీ పరవాలేదు ,5,తిరుపతి
చికెన్ ఫ్యాక్టరీ,Tandoori,మలై కొఫ్తా చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,2,అనంతపూర్
బిరియానీ స్పెషల్,Fast Food,పకోడీ రుచి మరచిపోలేనిది.,5,కరీంనగర్
ఓషన్ ఫుడ్,Andhra Meals,ఇక్కడి పులిహోర అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,4,అనంతపూర్
చైనా టౌన్,Tandoori,పాయసం కొంచెం కూడా బాగోలేదు.,2,గుంటూరు
టీ టైమ్ స్నాక్స్,South Indian,మటన్ కర్రీ క్వాలిటీ అద్భుతం!,1,వరంగల్
పిజ్జా హట్,Biryani,మటన్ కర్రీ రుచి మరచిపోలేనిది.,5,విశాఖపట్నం
ఫుడ్ హబ్,North Indian,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా ఇడ్లీ సూపర్.,3,హైదరాబాద్
హోటల్ శ్రీనివాస,Tandoori,పులిహోర క్వాలిటీ అద్భుతం!,5,వరంగల్
నూడుల్ వరల్డ్,Chinese,ధర కొంచెం ఎక్కువ కానీ చపాతీ చాలా బాగుంది.,4,అనంతపూర్
చికెన్ కింగ్,Fast Food,మటన్ కర్రీ అసలు బాలేదు.,3,వరంగల్
గోల్డెన్ ప్యాలెస్,Tandoori,ఇక్కడి దోసె అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,3,రాజమండ్రి
మల్టీ క్విజీన్ హబ్,South Indian,టీ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,4,నెల్లూరు
డైనింగ్ పాయింట్,North Indian,చికెన్ ఫ్రై పరవాలేదు ,1,తిరుపతి
శాంతి సాగర్,South Indian,సూప్ రుచి మామూలుగా ఉంది,4,కరీంనగర్
స్వీట్ లాండ్,Fast Food,స్పైసీ లవర్స్ కి సూప్ బెస్ట్ ఆప్షన్.,1,కరీంనగర్
టీ టైమ్ స్నాక్స్,North Indian,చికెన్ ఫ్రై రుచి మామూలుగా ఉంది,1,నెల్లూరు
చైనీస్ వక్,Andhra Meals,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా గోంగూర పచ్చడి సూపర్.,1,నెల్లూరు
కబాబ్ స్టేషన్,North Indian,ఇక్కడి మలై కొఫ్తా అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,1,నెల్లూరు
మసాలా మేజిక్,Andhra Meals,పూరీ రుచి మరచిపోలేనిది.,1,కాకినాడ
చికెన్ కార్నర్,Biryani,పిజ్జా చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,1,విజయవాడ
తందూరి స్టార్,Biryani,"నిజంగా చెప్పాలి అంటే, పిజ్జా నాకు చాలా నచ్చింది.",3,తిరుపతి
పరంపరా వంటలు,South Indian,ఫ్రెష్ గా చేసిన పొంగల్ చాలా టేస్టీ గా ఉంది.,1,అనంతపూర్
కబాబ్ హౌస్,North Indian,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా మలై కొఫ్తా సూపర్.,2,హైదరాబాద్
స్వీటీ స్క్వేర్,Biryani,కాఫీ అసలు బాలేదు.,1,అనంతపూర్
ఆసియన్ వోక్,Chinese,"నిజంగా చెప్పాలి అంటే, పాయసం నాకు చాలా నచ్చింది.",4,తిరుపతి
స్వీట్ షాప్,Chinese,స్పైసీ లవర్స్ కి పాయసం బెస్ట్ ఆప్షన్.,1,నెల్లూరు
సీఫుడ్ బే,Chinese,ఫ్రెష్ గా చేసిన ఇడ్లీ చాలా టేస్టీ గా ఉంది.,4,నెల్లూరు
పరదైస్ రెస్టారెంట్,North Indian,స్పైసీ లవర్స్ కి పనీర్ బట్టర్ మసాలా బెస్ట్ ఆప్షన్.,5,తిరుపతి
హైదరాబాద్ మసాలా,Andhra Meals,చికెన్ ఫ్రై రుచి మరచిపోలేనిది.,4,వరంగల్
తందూరి నైట్స్,Fast Food,ధర కొంచెం ఎక్కువ కానీ బిర్యాని చాలా బాగుంది.,4,విజయవాడ
హోటల్ శ్రీఫుడ్,South Indian,పూరీ క్వాలిటీ అద్భుతం!,5,తిరుపతి
తందూరి స్టార్,North Indian,కాఫీ అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,3,అనంతపూర్
కబాబ్ జంక్షన్,Andhra Meals,ధర కొంచెం ఎక్కువ కానీ బిర్యాని చాలా బాగుంది.,5,వరంగల్
తందూరి నైట్స్,Andhra Meals,బర్గర్ రుచి మరచిపోలేనిది.,5,వరంగల్
హైదరాబాదీ బిరియానీ హౌస్,Andhra Meals,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా దోసె సూపర్.,1,ఖమ్మం
రాయల్ థాళీ,South Indian,ధర కొంచెం ఎక్కువ కానీ గోబీ 65 చాలా బాగుంది.,5,విజయవాడ
స్వీట్ హౌస్,Biryani,ఇక్కడి చికెన్ ఫ్రై అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,5,వరంగల్
పర్ఫెక్ట్ టిఫిన్స్,South Indian,పకోడీ అసలు బాలేదు.,2,గుంటూరు
ఫ్లేవర్ హౌస్,Tandoori,పూరీ అసలు బాలేదు.,2,తిరుపతి
చికెన్ హట్,Tandoori,దోసె చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,4,రాజమండ్రి
రామయ్య హోటల్,North Indian,మటన్ కర్రీ క్వాలిటీ అద్భుతం!,4,విజయవాడ
హోటల్ సత్యం,South Indian,గోబీ 65 అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,3,ఖమ్మం
